@relation excitement
@attribute f13 NUMERIC
@attribute f14 NUMERIC
@attribute f15 NUMERIC
@attribute f16 NUMERIC
@attribute f17 NUMERIC
@attribute f18 NUMERIC
@attribute f55 NUMERIC
@attribute f56 NUMERIC
@attribute f57 NUMERIC
@attribute f58 NUMERIC
@attribute f59 NUMERIC
@attribute f60 NUMERIC
@attribute f61 NUMERIC
@attribute f62 NUMERIC
@attribute f63 NUMERIC
@attribute f64 NUMERIC
@attribute f65 NUMERIC
@attribute f66 NUMERIC
@attribute class { Positive, Negative}
@data
0.7272727272727273,0.06198347107438016,0.5,1.0,11.0,0.2,0.6875,0.4440366972477064,1.0,0.5,0.09090909090909091,0.0625,0.4684129429892142,0.1183917093008002,1.0,0.3333333333333333,0.5789473684210527,0.2711864406779661,Positive
0.5,0.0,0.5,0.5,2.0,0.04347826086956522,0.2608695652173913,0.0,1.0,0.06666666666666667,0.1666666666666667,0.04347826086956522,0.1904761904761905,0.0,1.0,0.06666666666666667,0.25,0.04761904761904762,Positive
0.9444444444444444,0.1358024691358025,0.5,1.5,9.0,0.2615384615384616,0.6692307692307693,0.1943160813308687,1.0,0.4,0.2068965517241379,0.1384615384615385,0.6780626780626781,0.3401569833944701,1.0,0.6,0.6428571428571429,0.435897435897436,Negative
0.5,0.0,0.5,0.5,1.0,0.01851851851851852,0.6878306878306878,0.2935745063686727,1.0,0.4,0.35,0.2407407407407407,0.3,0.0,1.0,0.1,0.08333333333333333,0.025,Negative
?,?,?,?,0.0,0.0,0.7368421052631579,0.2300469483568075,1.0,0.3333333333333333,0.4285714285714285,0.3157894736842105,?,?,?,?,0.0,0.0,Negative
1.5,0.625,0.5,2.5,4.0,0.1025641025641026,0.5752794214332676,0.1782066854561819,1.0,0.3846153846153846,0.3714285714285714,0.2136752136752137,0.6749999999999999,0.2158848614072495,1.0,0.3846153846153846,0.2222222222222222,0.15,Positive
0.75,0.1875,0.5,1.5,4.0,0.06818181818181818,0.8181818181818181,0.5225806451612904,1.0,0.6666666666666666,0.3333333333333333,0.2727272727272727,0.5172413793103449,0.3424657534246575,1.0,0.5,0.2,0.103448275862069,Positive
0.5,0.0,0.5,0.5,2.0,0.05555555555555555,0.7777777777777777,0.532608695652174,1.0,0.6666666666666666,0.2857142857142857,0.2222222222222222,0.3076923076923077,0.0,1.0,0.1666666666666667,0.25,0.07692307692307691,Positive
0.75,0.0625,0.5,1.0,2.0,0.0625,0.625,0.2383474576271186,1.0,0.4444444444444444,0.2666666666666667,0.1666666666666667,0.3648648648648649,0.03266129032258065,1.0,0.2222222222222222,0.2222222222222222,0.08108108108108107,Negative
0.8333333333333334,0.2222222222222222,0.5,1.5,3.0,0.0625,1.2675,1.851640746500778,1.0,1.0,0.3846153846153846,0.4875,0.6018518518518519,0.2866836301950806,1.0,0.4285714285714285,0.2307692307692308,0.1388888888888889,Negative
0.5,0.0,0.5,0.5,2.0,0.02531645569620253,1.009493670886076,1.221593581001646,1.0,0.8181818181818182,0.3636363636363636,0.3670886075949367,0.25,0.0,1.0,0.09090909090909091,0.1666666666666667,0.04166666666666666,Positive
?,?,?,?,0.0,0.0,1.433255269320843,2.153095908655782,1.0,1.0,0.4117647058823529,0.5901639344262295,?,?,?,?,0.0,0.0,Negative
0.6428571428571429,0.05102040816326531,0.5,1.0,7.0,0.08411214953271028,0.7024922118380061,0.1395131491585116,1.0,0.2727272727272727,0.2926829268292683,0.205607476635514,0.3721804511278196,0.03129769017873311,1.0,0.1818181818181818,0.3181818181818182,0.1184210526315789,Positive
0.75,0.0625,0.5,1.0,2.0,0.04761904761904762,0.9523809523809524,0.7981542682546611,1.0,0.6,0.35,0.3333333333333333,0.4230769230769231,0.03680048661800486,1.0,0.2,0.1818181818181818,0.07692307692307691,Negative
0.6875,0.05859375,0.5,1.0,8.0,0.1037735849056604,1.037735849056604,0.6486003573555689,1.0,0.6,0.2272727272727273,0.2358490566037736,0.5107142857142857,0.05184473167539267,1.0,0.2,0.3076923076923077,0.1571428571428572,Positive
0.5,0.0,0.5,0.5,3.0,0.03061224489795918,1.17425431711146,1.666766534341997,1.0,1.0,0.3823529411764706,0.4489795918367347,0.3529411764705882,0.0,1.0,0.2,0.1666666666666667,0.05882352941176471,Negative
0.75,0.1458333333333333,0.5,1.5,6.0,0.08653846153846154,1.05,1.135173581710415,1.0,0.8571428571428571,0.2380952380952381,0.25,0.5652173913043479,0.2109862671660424,1.0,0.4285714285714285,0.2307692307692308,0.1304347826086956,Negative
0.6,0.04,0.5,1.0,5.0,0.06896551724137931,1.5,1.679583333333333,1.0,1.0,0.2068965517241379,0.3103448275862069,0.4,0.0288,1.0,0.1818181818181818,0.2777777777777778,0.1111111111111111,Negative
0.625,0.046875,0.5,1.0,4.0,0.04761904761904762,1.027777777777778,1.149183723196882,1.0,1.0,0.3428571428571429,0.3523809523809524,0.376984126984127,0.06584387159533074,0.5,0.2857142857142857,0.2105263157894737,0.07936507936507936,Negative
0.8333333333333334,0.1388888888888889,0.5,1.5,6.0,0.09615384615384616,0.84375,1.225373641304348,1.0,1.0,0.3076923076923077,0.2596153846153846,0.5223880597014925,0.1969453376205788,1.0,0.4285714285714285,0.2857142857142857,0.1492537313432836,Positive
?,?,?,?,0.0,0.0,1.027985074626866,1.291680007684426,1.0,1.0,0.4210526315789473,0.4328358208955224,?,?,?,?,0.0,0.0,Negative
0.75,0.0625,0.5,1.0,2.0,0.02678571428571428,0.9323979591836735,0.7287020833825997,1.0,0.6666666666666666,0.4117647058823529,0.3839285714285715,0.4090909090909091,0.03409090909090908,1.0,0.1666666666666667,0.1111111111111111,0.04545454545454545,Negative
1.0,0.0,1.0,1.0,3.0,0.05607476635514019,1.219626168224299,1.803051848610807,1.0,1.0,0.4444444444444444,0.5420560747663551,0.7906976744186047,0.0,2.0,0.5,0.1764705882352941,0.1395348837209302,Negative
1.0,0.0,1.0,1.0,2.0,0.03846153846153846,1.129370629370629,2.20680753870377,1.0,1.0,0.3235294117647059,0.3653846153846154,0.6774193548387096,0.0,2.0,0.3333333333333333,0.09523809523809523,0.06451612903225806,Negative
0.75,0.0625,0.5,1.0,2.0,0.02857142857142857,1.073809523809524,1.623373328557785,1.0,1.0,0.3636363636363636,0.3904761904761905,0.4672131147540983,0.1051864801864802,1.0,0.2857142857142857,0.1052631578947368,0.04918032786885245,Negative
1.0,0.25,0.5,1.5,2.0,0.07017543859649122,1.260964912280702,1.338184770331325,1.0,1.0,0.3478260869565217,0.4385964912280702,0.9285714285714286,0.5487012987012987,1.0,0.5,0.1538461538461539,0.1428571428571428,Negative
1.0,0.0,1.0,1.0,3.0,0.06666666666666667,0.8814814814814815,0.6124076397602118,1.0,0.8571428571428571,0.4411764705882353,0.3888888888888889,0.6530612244897959,0.0,2.0,0.2857142857142857,0.1875,0.1224489795918367,Negative
0.75,0.0625,0.5,1.0,6.0,0.08035714285714286,0.9166666666666667,0.3875875875875875,1.0,0.5714285714285714,0.3409090909090909,0.3125,0.5073529411764707,0.07671113689095127,1.0,0.2857142857142857,0.2608695652173913,0.1323529411764706,Positive
0.875,0.046875,0.5,1.0,4.0,0.09722222222222222,1.111111111111111,1.822916666666667,1.0,1.0,0.3,0.3333333333333333,0.7256097560975611,0.1584429824561403,1.0,0.4,0.2352941176470588,0.1707317073170732,Positive
0.5,0.0,0.5,0.5,2.0,0.02173913043478261,1.083074534161491,1.599024666257481,1.0,1.0,0.4516129032258064,0.4891304347826087,0.3333333333333333,0.0,1.0,0.2,0.1333333333333333,0.04444444444444444,Negative
?,?,?,?,0.0,0.0,1.217228464419476,1.768026780793049,1.0,1.0,0.48,0.5842696629213483,?,?,?,?,0.0,0.0,Negative
1.1,0.64,0.5,2.5,5.0,0.130952380952381,1.206349206349206,1.911668991166899,1.0,1.0,0.375,0.4523809523809524,0.9428571428571428,2.504347826086956,1.0,1.0,0.3333333333333333,0.3142857142857143,Negative
0.75,0.0625,0.5,1.0,2.0,0.02586206896551724,1.273209549071618,1.721760021355163,1.0,1.0,0.4333333333333333,0.5517241379310345,0.4591836734693878,0.08345697329376855,1.0,0.25,0.1333333333333333,0.06122448979591837,Negative
1.166666666666667,0.05555555555555556,1.0,1.5,3.0,0.05833333333333333,0.98,0.7723076923076924,1.0,0.6666666666666666,0.4166666666666667,0.4083333333333333,0.6562500000000001,0.02931596091205212,2.0,0.25,0.1666666666666667,0.109375,Negative
